project_id,name,goal_amount,deadline,current_amount,category
18392014,Smart Farm Sensors,500000,2025-12-31T23:59:59,0,AgriTech
24578139,Community Library Renovation,200000,2026-01-15T23:59:59,50000,Education
31247856,Clean River Campaign,150000,2025-11-30T23:59:59,20000,Environment
46901237,Rural Clinic Upgrade,800000,2026-03-01T23:59:59,120000,Health
58734012,Open Source Learning App,300000,2026-02-28T23:59:59,0,Technology
63125970,Urban Garden Network,180000,2025-12-15T23:59:59,45000,Environment
75290164,Artisan Market Expansion,220000,2026-04-30T23:59:59,10000,SmallBusiness
86401325,Solar School Program,400000,2026-01-31T23:59:59,0,Education
97540218,Wildlife Rescue Van,350000,2026-05-31T23:59:59,60000,AnimalWelfare
19876543,Cultural Heritage Archive,250000,2026-03-31T23:59:59,0,Arts
